session_id,journey_sequence,session_length,event_1,event_2,event_3,event_4,event_5,event_6
120,"on-air, on-air, on-air, travel, opinion, on-air, on-air, on-air, on-air, on-air, news, news",38,on-air,on-air,on-air,travel,opinion,on-air
121,"frontpage, living, frontpage",3,frontpage,living,frontpage,,,
122,"on-air, news, news",3,on-air,news,news,,,
123,"frontpage, frontpage",2,frontpage,frontpage,,,,
124,"frontpage, tech, tech, frontpage, frontpage, frontpage, frontpage, frontpage, news, travel, on-air, frontpage",22,frontpage,tech,tech,frontpage,frontpage,frontpage
125,"on-air, misc, misc, misc, on-air, living, living",7,on-air,misc,misc,misc,on-air,living
126,"health, health",2,health,health,,,,
127,"frontpage, frontpage, living, frontpage, frontpage, frontpage, sports, frontpage, frontpage, sports, sports, frontpage",15,frontpage,frontpage,living,frontpage,frontpage,frontpage
128,"on-air, on-air, on-air, on-air, tech, bbs",6,on-air,on-air,on-air,on-air,tech,bbs
129,"frontpage, on-air, frontpage",3,frontpage,on-air,frontpage,,,
130,"health, health, health, local, local, local, local, local, local, local, on-air, misc",30,health,health,health,local,local,local
131,"local, local, local, local, local, local, local, local, local, local, local, local",12,local,local,local,local,local,local
132,"sports, health, health, health",4,sports,health,health,health,,
133,"weather, weather, weather, weather, weather",5,weather,weather,weather,weather,weather,
134,"on-air, travel, on-air",3,on-air,travel,on-air,,,
135,"summary, summary",2,summary,summary,,,,
136,"frontpage, business, frontpage, on-air",4,frontpage,business,frontpage,on-air,,
137,"on-air, on-air, on-air, on-air, on-air, on-air, on-air, on-air, on-air, on-air",10,on-air,on-air,on-air,on-air,on-air,on-air
138,"health, weather",2,health,weather,,,,
139,"weather, weather, news, weather",4,weather,weather,news,weather,,
140,"msn-news, msn-news",2,msn-news,msn-news,,,,
141,"living, living, living",3,living,living,living,,,
142,"summary, bbs",2,summary,bbs,,,,
143,"frontpage, misc, misc, misc",4,frontpage,misc,misc,misc,,
144,"weather, weather, bbs, bbs, bbs, local, local, bbs, weather, bbs",10,weather,weather,bbs,bbs,bbs,local
145,"summary, summary",2,summary,summary,,,,
146,"health, misc, health, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion",21,health,misc,health,opinion,opinion,opinion
147,"summary, frontpage, misc, misc, frontpage",5,summary,frontpage,misc,misc,frontpage,
148,"frontpage, bbs, bbs, frontpage, frontpage, news",6,frontpage,bbs,bbs,frontpage,frontpage,news
149,"bbs, bbs",2,bbs,bbs,,,,
150,"weather, weather, weather",3,weather,weather,weather,,,
151,"on-air, bbs",2,on-air,bbs,,,,
152,"business, business, business, business",4,business,business,business,business,,
153,"frontpage, on-air, on-air, misc, misc, misc, on-air",7,frontpage,on-air,on-air,misc,misc,misc
154,"frontpage, news, frontpage, news, frontpage, on-air, frontpage, local, frontpage, news, frontpage, news",12,frontpage,news,frontpage,news,frontpage,on-air
155,"frontpage, frontpage, frontpage, frontpage, frontpage",5,frontpage,frontpage,frontpage,frontpage,frontpage,
156,"health, tech, local, on-air, misc, misc, misc, misc, misc, misc, misc, misc",19,health,tech,local,on-air,misc,misc
157,"bbs, bbs",2,bbs,bbs,,,,
158,"living, news, bbs, bbs",4,living,news,bbs,bbs,,
159,"health, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion",26,health,opinion,opinion,opinion,opinion,opinion
160,"frontpage, business, msn-sports, frontpage, frontpage, on-air, misc, misc, misc, misc, misc, misc",13,frontpage,business,msn-sports,frontpage,frontpage,on-air
161,"local, local, sports, local",4,local,local,sports,local,,
162,"news, travel",2,news,travel,,,,
163,"bbs, bbs, bbs, bbs, bbs",5,bbs,bbs,bbs,bbs,bbs,
164,"frontpage, frontpage, sports",3,frontpage,frontpage,sports,,,
165,"sports, sports, sports, bbs, bbs, bbs, sports",7,sports,sports,sports,bbs,bbs,bbs
166,"news, news",2,news,news,,,,
167,"frontpage, frontpage, frontpage, frontpage, frontpage, bbs",6,frontpage,frontpage,frontpage,frontpage,frontpage,bbs
168,"frontpage, frontpage",2,frontpage,frontpage,,,,
169,"on-air, health",2,on-air,health,,,,
170,"local, local",2,local,local,,,,
171,"frontpage, local",2,frontpage,local,,,,
172,"bbs, bbs",2,bbs,bbs,,,,
173,"summary, summary, summary, summary, summary, summary, bbs, bbs, bbs, summary, summary, summary",18,summary,summary,summary,summary,summary,summary
174,"bbs, bbs, bbs",3,bbs,bbs,bbs,,,
175,"summary, summary, bbs",3,summary,summary,bbs,,,
176,"frontpage, bbs, bbs, bbs, bbs, frontpage, news, news, news, news, news",11,frontpage,bbs,bbs,bbs,bbs,frontpage
177,"frontpage, on-air, on-air, living, living, living, living, living, living, living, living, living",68,frontpage,on-air,on-air,living,living,living
178,"frontpage, tech, frontpage, msn-sports, misc, misc, misc, misc",8,frontpage,tech,frontpage,msn-sports,misc,misc
179,"news, news, travel, opinion, opinion, msn-news",6,news,news,travel,opinion,opinion,msn-news
180,"sports, sports, sports, sports, sports, sports, sports, sports, sports",9,sports,sports,sports,sports,sports,sports
181,"frontpage, local, misc, frontpage, frontpage",5,frontpage,local,misc,frontpage,frontpage,
182,"frontpage, frontpage, frontpage, frontpage, bbs, bbs, frontpage, business, frontpage",9,frontpage,frontpage,frontpage,frontpage,bbs,bbs
183,"frontpage, frontpage, frontpage, frontpage, frontpage, opinion, frontpage, opinion, frontpage, frontpage",10,frontpage,frontpage,frontpage,frontpage,frontpage,opinion
184,"sports, sports",2,sports,sports,,,,
185,"frontpage, frontpage, tech, frontpage",4,frontpage,frontpage,tech,frontpage,,
186,"living, living",2,living,living,,,,
187,"business, business, business",3,business,business,business,,,
188,"sports, on-air",2,sports,on-air,,,,
189,"weather, weather, weather, weather, weather, weather, weather",7,weather,weather,weather,weather,weather,weather
190,"frontpage, frontpage, frontpage",3,frontpage,frontpage,frontpage,,,
191,"frontpage, local",2,frontpage,local,,,,
192,"frontpage, news, news, news, news",5,frontpage,news,news,news,news,
193,"frontpage, business, frontpage, news, news, bbs",6,frontpage,business,frontpage,news,news,bbs
194,"opinion, opinion, opinion, opinion, opinion, frontpage",6,opinion,opinion,opinion,opinion,opinion,frontpage
195,"frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, living, frontpage, frontpage, frontpage, frontpage, frontpage",25,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
196,"frontpage, tech, living, living, frontpage, opinion, opinion, business, business",9,frontpage,tech,living,living,frontpage,opinion
197,"on-air, on-air",2,on-air,on-air,,,,
198,"frontpage, frontpage, frontpage, frontpage, frontpage",5,frontpage,frontpage,frontpage,frontpage,frontpage,
199,"frontpage, tech, tech, tech",4,frontpage,tech,tech,tech,,
200,"frontpage, living, living, bbs, bbs, frontpage, bbs, frontpage, bbs, frontpage, bbs, frontpage",13,frontpage,living,living,bbs,bbs,frontpage
201,"weather, weather, weather, health",4,weather,weather,weather,health,,
202,"frontpage, frontpage, bbs",3,frontpage,frontpage,bbs,,,
203,"frontpage, bbs, bbs, bbs, bbs",5,frontpage,bbs,bbs,bbs,bbs,
204,"bbs, bbs, bbs",3,bbs,bbs,bbs,,,
205,"frontpage, frontpage, on-air",3,frontpage,frontpage,on-air,,,
206,"local, local",2,local,local,,,,
207,"frontpage, local, living, living, living, business, frontpage, news, frontpage, frontpage, opinion, on-air",15,frontpage,local,living,living,living,business
208,"frontpage, bbs",2,frontpage,bbs,,,,
209,"health, health, health, health",4,health,health,health,health,,
210,"bbs, bbs",2,bbs,bbs,,,,
211,"news, tech, tech, business, business",5,news,tech,tech,business,business,
212,"on-air, on-air, on-air, weather, weather, weather, weather, weather, weather, weather",10,on-air,on-air,on-air,weather,weather,weather
213,"summary, bbs",2,summary,bbs,,,,
214,"summary, local",2,summary,local,,,,
215,"news, news, news",3,news,news,news,,,
216,"on-air, travel, sports, news, frontpage, news, sports, sports, sports, sports",10,on-air,travel,sports,news,frontpage,news
217,"on-air, misc, misc, misc, on-air, misc, misc, misc, on-air, news, local",11,on-air,misc,misc,misc,on-air,misc
218,"weather, weather, weather, weather, weather, weather",6,weather,weather,weather,weather,weather,weather
219,"health, health, weather, weather, business, business, msn-sports, business, msn-sports, business, business, misc",44,health,health,weather,weather,business,business
220,"news, news, news, news, news, news, news, tech, news, news, news, news",22,news,news,news,news,news,news
221,"frontpage, msn-news, msn-news, news, msn-news, msn-news, msn-news",7,frontpage,msn-news,msn-news,news,msn-news,msn-news
222,"on-air, local",2,on-air,local,,,,
223,"on-air, sports, on-air",3,on-air,sports,on-air,,,
224,"summary, summary",2,summary,summary,,,,
225,"frontpage, frontpage, bbs, bbs, bbs, bbs, bbs, bbs",8,frontpage,frontpage,bbs,bbs,bbs,bbs
226,"frontpage, frontpage, living, frontpage, sports, sports, sports, frontpage",8,frontpage,frontpage,living,frontpage,sports,sports
227,"frontpage, local, sports, sports, sports, sports, tech, tech, tech",9,frontpage,local,sports,sports,sports,sports
228,"on-air, bbs, bbs",3,on-air,bbs,bbs,,,
229,"frontpage, bbs, bbs, bbs, bbs, frontpage, business, bbs, bbs, bbs, frontpage, news",34,frontpage,bbs,bbs,bbs,bbs,frontpage
230,"sports, news, news, living, living, living",6,sports,news,news,living,living,living
231,"health, health, local, local, local, local",6,health,health,local,local,local,local
232,"frontpage, frontpage",2,frontpage,frontpage,,,,
233,"health, health, health, health, health, news, news, news, health, health, health",11,health,health,health,health,health,news
234,"frontpage, local, frontpage, local, local, local, local, local, local, local, local, local",17,frontpage,local,frontpage,local,local,local
235,"frontpage, frontpage, sports, travel, living, sports, msn-sports, business, frontpage, frontpage, sports, travel",7033,frontpage,frontpage,sports,travel,living,sports
236,"weather, weather, weather, weather",4,weather,weather,weather,weather,,
237,"on-air, weather, weather, business, business, business, business, business",8,on-air,weather,weather,business,business,business
238,"tech, frontpage, frontpage",3,tech,frontpage,frontpage,,,
239,"local, local, local, local",4,local,local,local,local,,
240,"frontpage, on-air, news, living, news, news, news, on-air, frontpage, on-air, on-air, on-air",13,frontpage,on-air,news,living,news,news
241,"tech, tech, tech",3,tech,tech,tech,,,
242,"tech, tech, tech, tech, opinion, opinion, opinion, opinion",8,tech,tech,tech,tech,opinion,opinion
243,"sports, opinion, opinion, opinion, opinion, summary, misc, summary, summary",9,sports,opinion,opinion,opinion,opinion,summary
244,"sports, sports, frontpage, business, sports, bbs, bbs, sports",8,sports,sports,frontpage,business,sports,bbs
245,"frontpage, frontpage, sports, sports, sports, bbs, bbs, bbs, bbs, bbs, bbs, bbs",29,frontpage,frontpage,sports,sports,sports,bbs
246,"frontpage, frontpage, local, local, local, local, local, local, local, frontpage, frontpage",11,frontpage,frontpage,local,local,local,local
247,"frontpage, frontpage, weather, frontpage, weather, frontpage, weather, weather, frontpage, weather, frontpage, weather",13,frontpage,frontpage,weather,frontpage,weather,frontpage
248,"health, health, health, health, health, health, health, health",8,health,health,health,health,health,health
249,"summary, on-air",2,summary,on-air,,,,
250,"living, living, travel, opinion, travel, living, sports",7,living,living,travel,opinion,travel,living
251,"weather, tech",2,weather,tech,,,,
252,"summary, summary, misc, summary, summary, summary, summary, summary",8,summary,summary,misc,summary,summary,summary
253,"weather, weather",2,weather,weather,,,,
254,"on-air, frontpage, news, news, news, news, news, news",8,on-air,frontpage,news,news,news,news
255,"frontpage, living, sports, sports, sports, sports, sports, sports, sports, sports, sports, sports",21,frontpage,living,sports,sports,sports,sports
256,"frontpage, living, living, living, living, living, living, living, living, living, living, living",13,frontpage,living,living,living,living,living
257,"local, local",2,local,local,,,,
258,"health, health",2,health,health,,,,
259,"on-air, on-air, on-air, on-air, on-air",5,on-air,on-air,on-air,on-air,on-air,
260,"frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, frontpage",20,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
261,"frontpage, frontpage, news, news, local, bbs, bbs, bbs, frontpage",9,frontpage,frontpage,news,news,local,bbs
262,"summary, summary, summary, summary, summary, summary",6,summary,summary,summary,summary,summary,summary
263,"health, summary",2,health,summary,,,,
264,"health, misc, health, health",4,health,misc,health,health,,
265,"weather, weather, weather, weather, weather, weather, weather, weather, weather, weather, weather",11,weather,weather,weather,weather,weather,weather
266,"living, news, sports, sports, sports",5,living,news,sports,sports,sports,
267,"frontpage, frontpage, frontpage, frontpage, frontpage, frontpage",6,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
268,"weather, weather, weather",3,weather,weather,weather,,,
269,"tech, tech",2,tech,tech,,,,
270,"weather, bbs, bbs",3,weather,bbs,bbs,,,
271,"bbs, bbs, bbs, bbs, bbs, bbs, bbs, bbs, bbs, bbs, bbs, bbs",12,bbs,bbs,bbs,bbs,bbs,bbs
272,"frontpage, misc, local",3,frontpage,misc,local,,,
273,"weather, weather",2,weather,weather,,,,
274,"local, local",2,local,local,,,,
275,"frontpage, business, business, frontpage, frontpage",5,frontpage,business,business,frontpage,frontpage,
276,"weather, weather, weather, weather, weather",5,weather,weather,weather,weather,weather,
277,"opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion, opinion",10,opinion,opinion,opinion,opinion,opinion,opinion
278,"summary, summary, frontpage, summary, summary, frontpage, summary, summary",8,summary,summary,frontpage,summary,summary,frontpage
279,"health, tech, health, health",4,health,tech,health,health,,
280,"health, health",2,health,health,,,,
281,"tech, health",2,tech,health,,,,
282,"weather, weather, weather, weather, weather",5,weather,weather,weather,weather,weather,
283,"on-air, travel, on-air",3,on-air,travel,on-air,,,
284,"weather, weather, weather, weather, local",5,weather,weather,weather,weather,local,
285,"summary, summary, summary, summary, summary, summary, summary",7,summary,summary,summary,summary,summary,summary
286,"on-air, business, business, business, business",5,on-air,business,business,business,business,
287,"frontpage, frontpage",2,frontpage,frontpage,,,,
288,"on-air, on-air, misc, misc, misc, on-air, misc, on-air, on-air, tech",10,on-air,on-air,misc,misc,misc,on-air
289,"on-air, on-air",2,on-air,on-air,,,,
290,"local, local, health, health, local, news, local, local, business, msn-sports, business, business",14,local,local,health,health,local,news
291,"frontpage, news, news, frontpage, frontpage, bbs, bbs, bbs",8,frontpage,news,news,frontpage,frontpage,bbs
292,"weather, weather, weather, weather, weather",5,weather,weather,weather,weather,weather,
293,"summary, summary, summary, summary, summary, summary, bbs, bbs, bbs, summary",10,summary,summary,summary,summary,summary,summary
294,"business, bbs, bbs, bbs, bbs, bbs",6,business,bbs,bbs,bbs,bbs,bbs
295,"local, local, business",3,local,local,business,,,
296,"summary, sports, local, local, health, tech, health",7,summary,sports,local,local,health,tech
297,"frontpage, frontpage, living, frontpage, frontpage, frontpage",6,frontpage,frontpage,living,frontpage,frontpage,frontpage
298,"summary, summary",2,summary,summary,,,,
299,"frontpage, frontpage, frontpage, frontpage, frontpage, frontpage",6,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
300,"health, frontpage, health, frontpage, health, frontpage, health, frontpage, weather, weather, weather, weather",25,health,frontpage,health,frontpage,health,frontpage
301,"summary, summary, summary, bbs, bbs, bbs, bbs, bbs, bbs, news, bbs, summary",14,summary,summary,summary,bbs,bbs,bbs
302,"weather, weather, weather, weather, weather, weather, weather, weather, weather, weather, weather",11,weather,weather,weather,weather,weather,weather
303,"summary, summary, summary, summary",4,summary,summary,summary,summary,,
304,"tech, tech",2,tech,tech,,,,
305,"weather, weather, weather, weather, weather, weather, weather, weather, weather, weather",10,weather,weather,weather,weather,weather,weather
306,"summary, bbs, bbs",3,summary,bbs,bbs,,,
307,"summary, summary",2,summary,summary,,,,
308,"summary, summary",2,summary,summary,,,,
309,"weather, summary, summary, summary",4,weather,summary,summary,summary,,
310,"business, business",2,business,business,,,,
311,"weather, weather, weather, weather, weather, weather",6,weather,weather,weather,weather,weather,weather
312,"frontpage, frontpage, tech, tech, tech, tech, tech, on-air, misc, misc, misc, misc",12,frontpage,frontpage,tech,tech,tech,tech
313,"weather, weather, weather, weather",4,weather,weather,weather,weather,,
314,"weather, weather",2,weather,weather,,,,
315,"frontpage, frontpage, frontpage, frontpage, frontpage, frontpage, frontpage",7,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
316,"on-air, on-air, on-air",3,on-air,on-air,on-air,,,
317,"health, frontpage, news",3,health,frontpage,news,,,
318,"on-air, misc, misc, misc, on-air, travel, on-air",7,on-air,misc,misc,misc,on-air,travel
319,"bbs, bbs, bbs, frontpage",4,bbs,bbs,bbs,frontpage,,
320,"frontpage, frontpage, opinion, opinion",4,frontpage,frontpage,opinion,opinion,,
321,"weather, weather, weather, weather, weather, weather, weather",7,weather,weather,weather,weather,weather,weather
322,"health, health, weather",3,health,health,weather,,,
323,"weather, weather, weather, weather, weather, on-air, on-air, on-air, on-air, on-air, on-air, on-air",13,weather,weather,weather,weather,weather,on-air
324,"weather, weather, weather, weather, weather, weather",6,weather,weather,weather,weather,weather,weather
325,"business, business, news, news, news, news, news, news, news, news, news, news",13,business,business,news,news,news,news
326,"on-air, on-air, frontpage",3,on-air,on-air,frontpage,,,
327,"frontpage, frontpage, frontpage, frontpage",4,frontpage,frontpage,frontpage,frontpage,,
328,"local, local, local, local, local, local, local, local, local, local, local, local",33,local,local,local,local,local,local
329,"frontpage, living, local",3,frontpage,living,local,,,
330,"summary, summary, summary",3,summary,summary,summary,,,
331,"frontpage, frontpage, frontpage, tech, tech, frontpage, frontpage, frontpage, news, frontpage, frontpage",11,frontpage,frontpage,frontpage,tech,tech,frontpage
332,"local, weather, weather",3,local,weather,weather,,,
333,"frontpage, on-air",2,frontpage,on-air,,,,
334,"health, health, frontpage, misc, misc, health, misc, frontpage, local, local, local, local",17,health,health,frontpage,misc,misc,health
335,"frontpage, news, frontpage, frontpage, news, news, frontpage, business, frontpage, frontpage, frontpage, frontpage",21,frontpage,news,frontpage,frontpage,news,news
336,"news, bbs, news, msn-sports, msn-sports, news",6,news,bbs,news,msn-sports,msn-sports,news
337,"sports, health, health, health, health, health, health, health, sports, sports, sports, sports",13,sports,health,health,health,health,health
338,"weather, weather, weather, weather, weather, weather",6,weather,weather,weather,weather,weather,weather
339,"frontpage, news",2,frontpage,news,,,,
340,"summary, summary",2,summary,summary,,,,
341,"frontpage, frontpage, on-air, frontpage",4,frontpage,frontpage,on-air,frontpage,,
342,"frontpage, opinion, business, business, business, business, business, business, msn-sports",9,frontpage,opinion,business,business,business,business
343,"weather, weather, weather, weather",4,weather,weather,weather,weather,,
344,"frontpage, sports, sports, sports, news, news, frontpage, news, sports",9,frontpage,sports,sports,sports,news,news
